,user,time,location,text
62,hyunjincals,2020-10-01 14:49:25,they/them 18! ,making rice and leaving it out to give myself food poisoning someone tell me how long i gotta leave it out for..sho… https://t.co/okJhwmzUSY
63,GammalFarida,2020-10-01 14:49:04,,RT @tommyxblake: so I have some kind of food poisoning from bad eggs 😔 i’ve been throwing up for a couple of hours it’s extremely painful
64,Aliroo6,2020-10-01 14:48:56,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
65,BohemianBeads1,2020-10-01 14:48:15,Oregon,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
66,MayIrmamay14,2020-10-01 14:48:08,"Texas, USA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
67,dawn6924,2020-10-01 14:47:44,Florida,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
68,cardon_brian,2020-10-01 14:47:11,"North Carolina, USA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
69,VedehiMajumdar,2020-10-01 14:46:44,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
70,Fakhrul_IJOY,2020-10-01 14:46:43,"Province of Moscow, Russia",ada case food poisoning makan roti canai sarang burung lol. telur tak basuh letteww
71,OmarGon50128195,2020-10-01 14:46:21,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
72,aoixmikaze,2020-10-01 14:46:07,isaac’s arms ❤️,@mioreoss I didn’t give him any cause I didn’t want him to get food poisoning 🤡🤡
73,igotbigbiddies,2020-10-01 14:45:52,,food poisoning hits different when you want to sleep for the next year.
74,StinsonTimothy,2020-10-01 14:45:47,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
75,jmtarpon,2020-10-01 14:45:45,"Florida, USA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
76,fujoshi232,2020-10-01 14:45:02,"Malang, Jawa Timur",RT @nicozawas: thinking abt how shen yuan died of food poisoning and luo binghe showed him love through home cooked meals
